index;RSN;icol;nvoxel;tissue;itissue;min;max;hout;hcort;hbg;hcer;htrunc;nroi
1;1;1;101;cortex;1;3.414572954;6.114801407;0;101;0;0;0;1
2;1;2;116;cortex;1;3.412197113;6.728141785;0;116;0;0;0;2
3;1;4;28;cortex;1;3.569790363;12.34037781;0;28;0;0;0;3
4;1;6;167;cortex;1;5.667468548;19.08439827;0;167;0;0;0;4
5;1;7;151;cortex;1;5.651073933;19.96018028;0;151;0;0;0;5
6;1;8;321;cortex;1;5.065511703;20.58715248;0;321;0;0;0;6
7;1;9;204;cortex;1;4.470580101;21.42360878;0;204;0;0;0;7
8;1;10;103;cortex;1;3.490951777;9.746218681;0;103;0;0;0;8
9;1;11;33;cortex;1;4.668326378;8.07882309;0;33;0;0;0;9
10;1;12;699;cortex;1;4.275287628;15.19840336;0;699;0;0;0;10
11;1;13;678;cortex;1;4.246193409;16.03101921;0;678;0;0;0;11
12;4;2;38;cortex;1;3.645774603;10.30956554;0;38;0;0;0;12
13;4;3;54;cortex;1;3.682325363;11.03085709;0;54;0;0;0;13
14;4;4;1653;cortex;1;3.66653204;18.72012329;0;1653;0;0;0;14
15;4;5;272;cortex;1;4.263125896;18.50384521;0;272;0;0;0;15
16;4;6;821;cortex;1;3.680339813;18.01797104;0;821;0;0;0;16
17;6;1;270;cortex;1;4.968548775;15.57355976;0;270;0;0;0;17
18;6;2;291;cortex;1;4.354436874;16.89803314;0;291;0;0;0;18
19;6;4;1507;cortex;1;3.923770905;19.79370308;0;1507;0;0;0;19
20;6;5;1435;cortex;1;3.771637678;19.89442253;0;1435;0;0;0;20
21;7;3;360;cortex;1;3.250750542;11.49935722;0;360;0;0;0;21
22;7;4;372;cortex;1;3.277988672;10.91530037;0;372;0;0;0;22
23;7;6;76;cortex;1;3.270541668;6.437643051;0;76;0;0;0;23
24;7;12;771;cortex;1;3.855208397;15.0381155;0;771;0;0;0;24
25;7;13;556;cortex;1;5.154406548;15.03590775;0;556;0;0;0;25
26;7;14;1117;cortex;1;3.273174524;14.87168407;0;1117;0;0;0;26
27;7;15;1198;cortex;1;3.438770294;14.67166805;0;1198;0;0;0;27
28;8;1;102;cortex;1;3.745573997;7.307835579;0;102;0;0;0;28
29;8;2;377;cortex;1;3.50857234;10.86549377;0;377;0;0;0;29
30;8;3;132;cortex;1;5.418896675;11.2964735;0;132;0;0;0;30
31;8;4;31;cortex;1;6.763305187;9.106871605;0;31;0;0;0;31
32;8;5;47;cortex;1;4.381007195;8.534038544;0;47;0;0;0;32
33;8;7;267;cortex;1;5.013899803;9.930128098;0;267;0;0;0;33
34;8;8;160;cortex;1;3.863023996;8.201601982;0;160;0;0;0;34
35;8;9;513;cortex;1;3.349798679;12.05281639;0;513;0;0;0;35
36;8;10;651;cortex;1;3.79263854;19.52017975;0;651;0;0;0;36
37;8;11;79;cortex;1;5.467740059;13.43671799;0;79;0;0;0;37
38;9;1;94;cortex;1;3.781548738;11.06611252;0;94;0;0;0;38
39;9;2;130;cortex;1;3.344759226;11.95284843;0;130;0;0;0;39
40;9;3;191;cortex;1;4.502653599;13.34273624;0;191;0;0;0;40
41;9;4;198;cortex;1;5.368092537;13.0780468;0;198;0;0;0;41
42;9;5;450;cortex;1;5.048868179;14.37567425;0;450;0;0;0;42
43;9;6;551;cortex;1;4.919411182;14.76372528;0;551;0;0;0;43
44;9;7;274;cortex;1;3.801937342;15.25892448;0;274;0;0;0;44
45;9;8;252;cortex;1;4.126092434;15.95551586;0;252;0;0;0;45
46;9;10;614;cortex;1;4.44319582;14.45376492;0;614;0;0;0;46
47;9;11;820;cortex;1;5.638810635;15.71977329;0;820;0;0;0;47
48;9;13;337;cortex;1;3.856586695;11.71985817;0;337;0;0;0;48
49;9;14;380;cortex;1;4.367031574;12.44989681;0;380;0;0;0;49
50;9;15;87;cortex;1;3.899339199;8.856343269;0;87;0;0;0;50
51;9;17;144;cortex;1;5.061543941;8.799128532;0;144;0;0;0;51
52;9;18;64;cortex;1;4.291920662;7.931492329;0;64;0;0;0;52
53;10;1;129;cortex;1;3.543490171;9.623896599;0;129;0;0;0;53
54;10;2;40;cortex;1;4.929316044;9.02491188;0;40;0;0;0;54
55;10;3;168;cortex;1;4.141656399;9.421416283;0;168;0;0;0;55
56;10;4;813;cortex;1;4.951430798;16.06572914;0;813;0;0;0;56
57;10;5;929;cortex;1;4.481966019;16.74744606;0;929;0;0;0;57
58;10;6;43;cortex;1;6.292621613;10.17693329;0;43;0;0;0;58
59;10;7;306;cortex;1;4.162460327;10.69351482;0;306;0;0;0;59
60;10;8;165;cortex;1;4.534843445;10.1170454;0;165;0;0;0;60
61;11;1;41;cortex;1;4.479201794;11.35531139;0;41;0;0;0;61
62;11;2;230;cortex;1;4.890310287;16.56556702;0;230;0;0;0;62
63;11;3;140;cortex;1;3.838265181;12.88898182;0;140;0;0;0;63
64;11;4;89;cortex;1;5.973749638;11.59128475;0;89;0;0;0;64
65;11;5;319;cortex;1;8.837439537;21.30489731;0;319;0;0;0;65
66;11;7;844;cortex;1;5.426995754;21.19276237;0;844;0;0;0;66
67;11;8;1252;cortex;1;3.554067612;20.34651184;0;1252;0;0;0;67
68;12;1;208;cortex;1;4.395135403;13.01734734;0;208;0;0;0;68
69;12;2;138;cortex;1;4.578113079;13.32322407;0;138;0;0;0;69
70;12;3;181;cortex;1;4.125684261;11.64422131;0;181;0;0;0;70
71;12;4;1106;cortex;1;4.600294113;19.65811348;0;1106;0;0;0;71
72;12;5;166;cortex;1;10.4083128;19.09153748;0;166;0;0;0;72
73;12;6;723;cortex;1;4.039393902;18.71239471;0;723;0;0;0;73
74;12;7;562;cortex;1;4.600797653;18.64967728;0;562;0;0;0;74
75;15;1;55;cortex;1;4.70860815;6.434606075;0;55;0;0;0;75
76;15;2;224;cortex;1;4.261081696;9.506444931;0;224;0;0;0;76
77;15;3;212;cortex;1;4.22821188;10.12155151;0;212;0;0;0;77
78;15;4;166;cortex;1;3.243350744;5.684688091;0;166;0;0;0;78
79;15;6;547;cortex;1;3.821129322;11.0889473;0;547;0;0;0;79
80;15;7;674;cortex;1;3.487900734;10.67727375;0;674;0;0;0;80
81;15;8;309;cortex;1;4.371273041;7.113124847;0;309;0;0;0;81
82;15;9;237;cortex;1;4.38225174;7.72669363;0;237;0;0;0;82
83;15;10;127;cortex;1;4.26209259;7.041293621;0;127;0;0;0;83
84;15;12;83;cortex;1;5.36976862;8.238624573;0;83;0;0;0;84
85;15;13;185;cortex;1;4.691124916;8.203379631;0;185;0;0;0;85
86;17;1;393;cortex;1;3.297463179;9.607955933;0;393;0;0;0;86
87;17;2;1031;cortex;1;3.271858215;12.92403221;0;1031;0;0;0;87
88;17;4;638;cortex;1;4.275213242;12.63037109;0;638;0;0;0;88
89;17;5;370;cortex;1;3.667071581;10.65462399;0;370;0;0;0;89
90;17;7;732;cortex;1;4.600889206;13.8549757;0;732;0;0;0;90
91;17;8;1031;cortex;1;4.658511162;17.50345612;0;1031;0;0;0;91
92;17;9;357;cortex;1;3.750291348;11.80275822;0;357;0;0;0;92
93;18;1;209;cortex;1;3.24588418;6.853433609;0;209;0;0;0;93
94;18;2;91;cortex;1;3.784053087;8.456206322;0;91;0;0;0;94
95;18;3;132;cortex;1;4.982389927;9.013175964;0;132;0;0;0;95
96;18;4;336;cortex;1;4.414191246;8.620695114;0;336;0;0;0;96
97;18;5;406;cortex;1;4.923498154;9.281210899;0;406;0;0;0;97
98;18;6;233;cortex;1;4.010987282;7.941932678;0;233;0;0;0;98
99;18;8;1002;cortex;1;4.694607258;10.15994644;0;1002;0;0;0;99
100;18;9;57;cortex;1;4.384073734;5.519567966;0;57;0;0;0;100
101;18;10;190;cortex;1;3.30729723;6.926912308;0;190;0;0;0;101
102;18;11;42;cortex;1;5.316666603;6.343292236;0;42;0;0;0;102
103;19;1;177;cortex;1;5.166635036;8.508340836;0;177;0;0;0;103
104;19;2;341;cortex;1;4.923489571;9.986354828;0;341;0;0;0;104
105;19;5;247;cortex;1;3.321820736;8.430825233;0;247;0;0;0;105
106;19;6;973;cortex;1;3.321390629;11.98607254;0;973;0;0;0;106
107;19;7;199;cortex;1;3.645649433;7.805299282;0;199;0;0;0;107
108;19;8;1080;cortex;1;4.214294434;13.3294239;0;1080;0;0;0;108
109;20;1;302;cortex;1;3.343219757;6.773972511;0;302;0;0;0;109
110;20;2;37;cortex;1;3.485508919;6.752351761;0;37;0;0;0;110
111;20;3;994;cortex;1;3.337231159;14.43557358;0;994;0;0;0;111
112;20;4;447;cortex;1;3.338517189;11.88544559;0;447;0;0;0;112
113;20;6;1537;cortex;1;4.883136749;16.10807419;0;1537;0;0;0;113
114;20;7;1424;cortex;1;4.601536274;15.23914242;0;1424;0;0;0;114
115;20;8;93;cortex;1;4.22574234;8.115361214;0;93;0;0;0;115
116;20;9;111;cortex;1;5.16575098;10.34966469;0;111;0;0;0;116
117;20;10;102;cortex;1;3.553601265;5.856081009;0;102;0;0;0;117
118;21;1;519;cortex;1;3.335467339;14.65503597;0;519;0;0;0;118
119;21;2;426;cortex;1;3.350346088;14.51020908;0;426;0;0;0;119
120;21;3;666;cortex;1;3.362457514;15.86076546;0;666;0;0;0;120
121;21;4;735;cortex;1;3.331854582;17.41098404;0;735;0;0;0;121
122;21;5;274;cortex;1;3.369706631;20.48375893;0;274;0;0;0;122
123;21;6;498;cortex;1;3.348907709;22.39094353;0;498;0;0;0;123
124;21;7;353;cortex;1;5.247170448;22.19879723;0;353;0;0;0;124
125;21;8;618;cortex;1;5.141012192;22.9856472;0;618;0;0;0;125
126;21;9;338;cortex;1;6.351097584;12.4504652;0;338;0;0;0;126
127;21;10;521;cortex;1;5.922586441;14.07906055;0;521;0;0;0;127
128;21;11;178;cortex;1;3.715675116;8.408219337;0;178;0;0;0;128
129;21;12;142;cortex;1;3.523614168;8.45451355;0;142;0;0;0;129
130;21;13;151;cortex;1;4.517953873;8.371948242;0;151;0;0;0;130
131;21;14;257;cortex;1;4.038733482;8.773962975;0;257;0;0;0;131
132;22;1;56;cortex;1;3.866289854;6.988643169;0;56;0;0;0;132
133;22;2;196;cortex;1;3.220774412;7.418213367;0;196;0;0;0;133
134;22;3;48;cortex;1;3.216632843;6.391069889;0;48;0;0;0;134
135;22;4;60;cortex;1;3.201838493;5.912775993;0;60;0;0;0;135
136;22;5;302;cortex;1;4.695771694;11.75702381;0;302;0;0;0;136
137;22;6;259;cortex;1;3.220452547;12.27253342;0;259;0;0;0;137
138;22;7;296;cortex;1;5.275688648;11.75889969;0;296;0;0;0;138
139;22;8;757;cortex;1;3.197138309;14.7107935;0;757;0;0;0;139
140;22;9;353;cortex;1;3.230089664;13.08099556;0;353;0;0;0;140
141;22;10;266;cortex;1;4.17118597;8.397192955;0;266;0;0;0;141
142;22;11;182;cortex;1;4.297663212;7.161557674;0;182;0;0;0;142
143;22;12;289;cortex;1;5.389912128;11.89422226;0;289;0;0;0;143
144;22;13;309;cortex;1;5.075924873;11.73923874;0;309;0;0;0;144
145;22;14;614;cortex;1;4.441074848;20.19577599;0;614;0;0;0;145
146;22;15;749;cortex;1;3.210199594;18.86090469;0;749;0;0;0;146
147;22;16;132;cortex;1;4.452987194;8.700454712;0;132;0;0;0;147
148;22;17;75;cortex;1;4.823935986;7.184216499;0;75;0;0;0;148
149;23;1;872;cortex;1;3.246683598;9.159890175;0;872;0;0;0;149
150;23;2;858;cortex;1;3.268713236;7.668783665;0;858;0;0;0;150
151;23;4;270;cortex;1;3.279912233;5.59375906;0;270;0;0;0;151
152;23;5;1121;cortex;1;4.81447649;11.17985153;0;1121;0;0;0;152
153;23;6;662;cortex;1;3.311107159;8.992527008;0;662;0;0;0;153
154;23;7;847;cortex;1;4.259319782;8.41870594;0;847;0;0;0;154
155;24;1;1685;cortex;1;5.771754265;18.2993412;0;1685;0;0;0;155
156;24;2;1593;cortex;1;4.491491318;18.29207802;0;1593;0;0;0;156
157;25;1;80;cortex;1;4.588509083;12.51659393;0;80;0;0;0;157
158;25;2;118;cortex;1;5.120292187;13.26363087;0;118;0;0;0;158
159;25;3;254;cortex;1;3.599988222;10.75987625;0;254;0;0;0;159
160;25;4;235;cortex;1;3.728270531;11.94106674;0;235;0;0;0;160
161;25;5;29;cortex;1;6.702557087;10.25930119;0;29;0;0;0;161
162;25;6;365;cortex;1;4.722403049;15.80195713;0;365;0;0;0;162
163;25;7;404;cortex;1;4.851354599;16.14661598;0;404;0;0;0;163
164;25;8;61;cortex;1;5.940068722;11.16252804;0;61;0;0;0;164
165;25;9;59;cortex;1;9.742238045;14.41330528;0;59;0;0;0;165
166;25;10;405;cortex;1;5.335589886;16.40646172;0;405;0;0;0;166
167;25;11;439;cortex;1;5.408557892;16.54641533;0;439;0;0;0;167
168;25;12;47;cortex;1;10.19531155;14.79987717;0;47;0;0;0;168
169;25;13;247;cortex;1;6.350605488;16.15030479;0;247;0;0;0;169
170;25;14;294;cortex;1;6.362313747;16.60074806;0;294;0;0;0;170
171;25;15;365;cortex;1;6.592557907;16.74353409;0;365;0;0;0;171
172;25;16;608;cortex;1;6.149617672;16.59783173;0;608;0;0;0;172
173;25;17;82;cortex;1;7.590929031;16.1975975;0;82;0;0;0;173
174;26;2;137;cortex;1;3.254103422;6.118458271;0;137;0;0;0;174
175;26;3;41;cortex;1;3.277068853;5.032290459;0;41;0;0;0;175
176;26;4;244;cortex;1;3.236457825;6.102576256;0;244;0;0;0;176
177;26;5;461;cortex;1;3.389997005;9.310194016;0;461;0;0;0;177
178;26;6;61;cortex;1;5.329922199;10.73003101;0;61;0;0;0;178
179;26;7;400;cortex;1;3.501238346;11.9341135;0;400;0;0;0;179
180;26;8;85;cortex;1;3.819562912;6.208741665;0;85;0;0;0;180
181;26;9;127;cortex;1;3.995147467;7.501402855;0;127;0;0;0;181
182;26;11;1130;cortex;1;3.290314674;10.20867538;0;1130;0;0;0;182
183;26;12;493;cortex;1;3.805951834;11.26512909;0;493;0;0;0;183
184;26;13;47;cortex;1;4.623409271;7.29959631;0;47;0;0;0;184
185;27;1;33;cortex;1;3.294762373;4.73075676;0;33;0;0;0;185
186;27;2;892;cortex;1;3.289949179;9.209105492;0;892;0;0;0;186
187;27;3;49;cortex;1;3.431993484;6.7390275;0;49;0;0;0;187
188;27;5;142;cortex;1;3.292551756;7.454658985;0;142;0;0;0;188
189;27;6;475;cortex;1;4.529864788;9.541418076;0;475;0;0;0;189
190;27;7;584;cortex;1;4.762547493;9.256598473;0;584;0;0;0;190
191;27;8;263;cortex;1;4.51523447;7.717018127;0;263;0;0;0;191
192;27;9;920;cortex;1;4.244223118;10.52403736;0;920;0;0;0;192
193;27;10;189;cortex;1;4.562209606;6.977303505;0;189;0;0;0;193
194;27;11;297;cortex;1;4.529427528;7.845065594;0;297;0;0;0;194
195;27;12;868;cortex;1;4.697877884;9.297773361;0;868;0;0;0;195
196;28;2;183;cortex;1;3.632139683;12.86963463;0;183;0;0;0;196
197;28;3;174;cortex;1;3.662038565;11.91310596;0;174;0;0;0;197
198;28;4;676;cortex;1;3.651840687;16.81130219;0;676;0;0;0;198
199;28;5;145;cortex;1;8.207371712;16.27604294;0;145;0;0;0;199
200;28;6;44;cortex;1;6.81511879;16.18170357;0;44;0;0;0;200
201;28;7;425;cortex;1;4.487404346;16.0991745;0;425;0;0;0;201
202;28;8;145;cortex;1;7.057813168;18.20431328;0;145;0;0;0;202
203;28;9;503;cortex;1;5.941708565;19.39098358;0;503;0;0;0;203
204;28;10;366;cortex;1;4.710183144;18.31054878;0;366;0;0;0;204
205;28;11;875;cortex;1;5.288802624;18.34302139;0;875;0;0;0;205
206;28;12;927;cortex;1;5.164217472;18.96751022;0;927;0;0;0;206
207;29;1;45;cortex;1;3.160606623;5.270402431;0;45;0;0;0;207
208;29;2;45;cortex;1;3.178425074;5.424756527;0;45;0;0;0;208
209;29;3;123;cortex;1;3.183986902;5.609996319;0;123;0;0;0;209
210;29;4;165;cortex;1;3.199462652;6.754712582;0;165;0;0;0;210
211;29;6;36;cortex;1;4.134135246;7.237038136;0;36;0;0;0;211
212;29;7;668;cortex;1;4.147164822;11.99849892;0;668;0;0;0;212
213;29;8;65;cortex;1;5.331009388;12.78974056;0;65;0;0;0;213
214;29;11;1518;cortex;1;3.60591197;15.84393692;0;1518;0;0;0;214
215;29;12;494;cortex;1;5.397246838;13.55203342;0;494;0;0;0;215
216;29;13;390;cortex;1;4.103152752;13.5974226;0;390;0;0;0;216
217;29;14;116;cortex;1;4.930168629;9.025104523;0;116;0;0;0;217
218;29;16;171;cortex;1;3.273811579;9.090765953;0;171;0;0;0;218
219;30;1;863;cortex;1;3.284847975;8.21071434;0;863;0;0;0;219
220;30;2;549;cortex;1;3.306509972;8.711105347;0;549;0;0;0;220
221;30;6;62;cortex;1;3.271838427;4.593206882;0;62;0;0;0;221
222;30;7;1048;cortex;1;5.012461662;10.74151993;0;1048;0;0;0;222
223;30;8;81;cortex;1;4.150559425;7.352258682;0;81;0;0;0;223
224;30;9;557;cortex;1;4.210304737;8.171172142;0;557;0;0;0;224
225;31;1;279;cortex;1;3.698154688;14.1488781;0;279;0;0;0;225
226;31;2;458;cortex;1;5.262116432;14.68863583;0;458;0;0;0;226
227;31;3;964;cortex;1;3.648107052;14.60582542;0;964;0;0;0;227
228;31;4;333;cortex;1;3.690929413;13.66617966;0;333;0;0;0;228
229;31;5;253;cortex;1;3.927861929;14.21174335;0;253;0;0;0;229
230;31;6;268;cortex;1;4.98681736;14.30970287;0;268;0;0;0;230
231;31;7;774;cortex;1;5.056433201;14.76680946;0;774;0;0;0;231
232;31;8;789;cortex;1;4.801634312;13.80490208;0;789;0;0;0;232
233;31;9;332;cortex;1;5.763276577;13.04269791;0;332;0;0;0;233
234;32;1;584;cortex;1;3.804952383;11.16408539;0;584;0;0;0;234
235;32;2;434;cortex;1;3.34454608;10.62775326;0;434;0;0;0;235
236;32;3;163;cortex;1;3.310308695;9.656626701;0;163;0;0;0;236
237;32;4;208;cortex;1;3.395824909;9.453421593;0;208;0;0;0;237
238;32;5;95;cortex;1;4.961038113;6.623551846;0;95;0;0;0;238
239;32;6;802;cortex;1;4.297077179;10.63918495;0;802;0;0;0;239
240;32;7;419;cortex;1;3.488727808;9.327551842;0;419;0;0;0;240
241;32;9;65;cortex;1;3.372145891;4.885543823;0;65;0;0;0;241
242;32;10;292;cortex;1;4.222016335;8.308170319;0;292;0;0;0;242
243;33;1;258;cortex;1;3.211103439;8.320667267;0;258;0;0;0;243
244;33;2;148;cortex;1;3.380381584;5.91245079;0;148;0;0;0;244
245;33;3;1144;cortex;1;3.520021677;11.20728016;0;1144;0;0;0;245
246;33;4;516;cortex;1;4.349032402;8.096895218;0;516;0;0;0;246
247;33;5;30;cortex;1;3.619915962;6.884160995;0;30;0;0;0;247
248;33;7;351;cortex;1;4.985441685;10.23474026;0;351;0;0;0;248
249;33;8;114;cortex;1;3.260962725;9.363985062;0;114;0;0;0;249
250;33;9;794;cortex;1;3.800240755;9.281039238;0;794;0;0;0;250
251;33;10;722;cortex;1;4.064808846;10.80185223;0;722;0;0;0;251
252;33;11;199;cortex;1;4.40461874;8.909132957;0;199;0;0;0;252
253;33;12;583;cortex;1;3.821722984;9.849115372;0;583;0;0;0;253
254;35;1;140;cortex;1;3.446717739;6.744263172;0;140;0;0;0;254
255;35;2;387;cortex;1;3.444433928;7.131796837;0;387;0;0;0;255
256;35;4;135;cortex;1;3.462494373;6.360135555;0;135;0;0;0;256
257;35;7;103;cortex;1;3.438462257;5.988251686;0;103;0;0;0;257
258;35;8;100;cortex;1;3.457831621;5.496243477;0;100;0;0;0;258
259;35;9;980;cortex;1;3.472712278;11.29342079;0;980;0;0;0;259
260;35;10;985;cortex;1;3.449677229;11.35380173;0;985;0;0;0;260
261;35;13;202;cortex;1;5.879582405;9.793358803;0;202;0;0;0;261
262;35;14;532;cortex;1;5.671214104;9.978838921;0;532;0;0;0;262
263;35;15;73;cortex;1;5.898990631;8.971914291;0;73;0;0;0;263
264;35;16;307;cortex;1;5.667718887;9.365103722;0;307;0;0;0;264
265;35;17;448;cortex;1;4.766478539;9.517146111;0;448;0;0;0;265
266;35;19;52;cortex;1;4.867016315;6.790987968;0;52;0;0;0;266
267;36;1;149;cortex;1;3.165527344;4.905968189;0;149;0;0;0;267
268;36;2;32;cortex;1;3.171863556;4.229380608;0;32;0;0;0;268
269;36;3;116;cortex;1;3.172682285;5.636381626;0;116;0;0;0;269
270;36;4;67;cortex;1;3.166395187;5.235458851;0;67;0;0;0;270
271;36;5;85;cortex;1;3.246967316;6.48094368;0;85;0;0;0;271
272;36;6;223;cortex;1;3.514490843;8.494400024;0;223;0;0;0;272
273;36;7;236;cortex;1;4.203855991;8.24450016;0;236;0;0;0;273
274;36;8;246;cortex;1;3.904005051;9.542300224;0;246;0;0;0;274
275;36;9;285;cortex;1;5.367532253;8.450001717;0;285;0;0;0;275
276;36;10;51;cortex;1;5.110255718;7.108873844;0;51;0;0;0;276
277;36;11;635;cortex;1;4.119807243;12.61072922;0;635;0;0;0;277
278;36;12;235;cortex;1;4.877048969;10.49510479;0;235;0;0;0;278
279;36;13;91;cortex;1;4.504853249;9.766828537;0;91;0;0;0;279
280;36;14;80;cortex;1;4.67499733;8.360351563;0;80;0;0;0;280
281;37;1;136;cortex;1;5.037221432;8.954502106;0;136;0;0;0;281
